coddoc,edad,estciv,educacion,mora,balance,vivienda,prestamo,dia,duracion,campana,pdias,previo,Adq_Ahorro,contactado,edadacotado,balanceacotado,balanceclase,duracionacotado,campanaacotado
CODDOC0001,30,1,1,0,1787,0,0,19,79,1,-1,0,0,0,30,1787,1,79,1
CODDOC0002,33,1,2,0,4789,1,1,11,220,1,339,4,0,1,33,4000,1,220,1
CODDOC0003,35,2,3,0,1350,1,0,16,185,1,330,1,0,1,35,1350,1,185,1
CODDOC0004,30,1,3,0,1476,1,1,3,199,4,-1,0,0,0,30,1476,1,199,4
CODDOC0006,35,2,3,0,747,0,0,23,141,2,176,3,0,1,35,747,1,141,2
CODDOC0009,41,1,3,0,221,1,0,14,57,2,-1,0,0,0,41,221,1,57,2
CODDOC0010,43,1,1,0,-88,1,1,17,313,1,147,2,0,1,43,-88,1,313,1
CODDOC0011,39,1,2,0,9374,1,0,20,273,1,-1,0,0,0,39,4000,1,273,1
CODDOC0015,31,1,2,0,360,1,1,29,89,1,241,1,0,1,31,360,1,89,1
CODDOC0019,25,2,1,0,-221,1,0,23,250,1,-1,0,0,0,25,-221,1,250,1
CODDOC0021,38,0,0,0,0,1,0,18,96,2,-1,0,0,0,38,0,1,96,2
CODDOC0022,42,0,3,0,16,0,0,19,140,3,-1,0,0,0,42,16,1,140,3
CODDOC0025,26,1,3,0,543,0,0,30,169,3,-1,0,0,0,26,543,1,169,3
CODDOC0030,53,1,2,0,105,0,1,21,74,2,-1,0,0,0,53,105,1,74,2
CODDOC0031,68,0,2,0,4189,0,0,14,897,2,-1,0,1,0,65,4000,1,500,2
CODDOC0033,59,1,2,0,42,0,0,21,40,1,-1,0,0,0,59,42,1,40,1
CODDOC0034,32,2,3,0,2536,1,0,26,958,6,-1,0,1,0,32,2536,1,500,6
CODDOC0036,42,0,2,0,1811,1,0,14,150,1,-1,0,0,0,42,1811,1,150,1
CODDOC0037,78,0,1,0,229,0,0,22,97,1,-1,0,1,0,65,229,1,97,1
CODDOC0041,38,2,3,0,11971,1,0,17,609,2,101,3,0,1,38,4000,1,500,2
CODDOC0044,32,1,3,0,396,1,0,13,205,3,-1,0,0,0,32,396,1,205,3
CODDOC0045,32,2,3,0,2204,1,0,21,11,4,-1,0,0,0,32,2204,1,11,4
CODDOC0046,34,2,3,0,872,1,0,7,105,2,-1,0,0,0,34,872,1,105,2
CODDOC0047,55,1,1,0,145,0,0,2,59,3,5,2,0,1,55,145,1,59,3
CODDOC0048,26,1,1,0,0,1,0,21,425,1,-1,0,0,0,26,0,1,425,1
CODDOC0049,32,2,1,1,-849,1,1,4,204,1,-1,0,0,0,32,-849,1,204,1
CODDOC0050,61,1,0,0,4629,1,0,27,181,1,92,1,1,1,61,4000,1,181,1
